ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-01-29,8.168624071917119,-8.973540706351429,15.079315212242019,8.168624071917119,8.168624071917119,-0.6651847360611627,-0.6651847360611627,-0.6651847360611627,-0.0016688865195944036,-0.0016688865195944036,-0.0016688865195944036,-0.6635158495415683,-0.6635158495415683,-0.6635158495415683,0.0,0.0,0.0,2.7349800246560703
2021-01-30,8.187314831649417,-12.100740244212925,11.243377367482566,8.187314831649417,8.187314831649417,-1.0322397346191332,-1.0322397346191332,-1.0322397346191332,-0.4034182496085879,-0.4034182496085879,-0.4034182496085879,-0.6288214850105452,-0.6288214850105452,-0.6288214850105452,0.0,0.0,0.0,-0.2639568574156705
2021-01-31,8.206005591381714,-12.074644907988805,12.123168079431899,8.206005591381714,8.206005591381714,-0.9686652540235502,-0.9686652540235502,-0.9686652540235502,-0.3844235441167138,-0.3844235441167138,-0.3844235441167138,-0.5842417099068363,-0.5842417099068363,-0.5842417099068363,0.0,0.0,0.0,0.2571331006872728
2021-02-01,8.22469635111401,-5.922122019953951,17.167742881335933,8.22469635111401,8.22469635111401,-0.34252115439517716,-0.34252115439517716,-0.34252115439517716,0.18726252150412961,0.18726252150412961,0.18726252150412961,-0.5297836758993067,-0.5297836758993067,-0.5297836758993067,0.0,0.0,0.0,5.407563862380639
2021-02-02,8.243387110846308,-0.34448092447650674,23.403941277105215,8.243387110846308,8.243387110846308,0.3846775130816053,0.3846775130816053,0.3846775130816053,0.8503196902562408,0.8503196902562408,0.8503196902562408,-0.4656421771746358,-0.4656421771746358,-0.4656421771746358,0.0,0.0,0.0,11.414432764015626
2021-02-03,8.262077870578606,-8.596209209860064,14.795100694106148,8.262077870578606,8.262077870578606,-0.522992666495857,-0.522992666495857,-0.522992666495857,-0.13079313151333857,-0.13079313151333857,-0.13079313151333857,-0.39219953498251847,-0.39219953498251847,-0.39219953498251847,0.0,0.0,0.0,3.9410717342482893
2021-02-04,8.280768630310904,-8.186967032408214,16.9459083013905,8.280768630310904,8.280768630310904,-0.42729959327211964,-0.42729959327211964,-0.42729959327211964,-0.117278399999822,-0.117278399999822,-0.117278399999822,-0.3100211932722978,-0.3100211932722978,-0.3100211932722978,0.0,0.0,0.0,4.742399562598528
2021-02-05,8.2994593900432,-6.298431503593388,18.232863005471653,8.2994593900432,8.2994593900432,-0.22151597465130268,-0.22151597465130268,-0.22151597465130268,-0.0016688865181452711,-0.0016688865181452711,-0.0016688865181452711,-0.21984708813315745,-0.21984708813315745,-0.21984708813315745,0.0,0.0,0.0,6.460996554178875
2021-02-06,8.318150149775498,-8.774157872694689,15.477840987388863,8.318150149775498,8.318150149775498,-0.525997210383587,-0.525997210383587,-0.525997210383587,-0.40341824960934114,-0.40341824960934114,-0.40341824960934114,-0.12257896077424599,-0.12257896077424599,-0.12257896077424599,0.0,0.0,0.0,3.9428263754417694
2021-02-07,8.336840909507796,-7.786949442972243,16.51662509878889,8.336840909507796,8.336840909507796,-0.4036874312752956,-0.4036874312752956,-0.4036874312752956,-0.38442354411797686,-0.38442354411797686,-0.38442354411797686,-0.019263887157318665,-0.019263887157318665,-0.019263887157318665,0.0,0.0,0.0,4.9713630177977945
2021-02-08,8.355531669240094,-1.707558344673547,22.327701498105284,8.355531669240094,8.355531669240094,0.2761881271516048,0.2761881271516048,0.2761881271516048,0.18726252150469697,0.18726252150469697,0.18726252150469697,0.0889256056469077,0.0889256056469077,0.0889256056469077,0.0,0.0,0.0,10.663230312323437
2021-02-09,8.374222428972391,4.513835177906857,28.273052242985,8.374222428972391,8.374222428972391,1.0510340686590025,1.0510340686590025,1.0510340686590025,0.8503196902560684,0.8503196902560684,0.8503196902560684,0.20071437840293374,0.20071437840293374,0.20071437840293374,0.0,0.0,0.0,17.17581550035072
2021-02-10,8.39291318870469,-1.9373717871474723,21.64529635168424,8.39291318870469,8.39291318870469,0.18395680797117114,0.18395680797117114,0.18395680797117114,-0.13079313151430383,-0.13079313151430383,-0.13079313151430383,0.314749939485475,0.314749939485475,0.314749939485475,0.0,0.0,0.0,9.936846708477947
