Date,Prophet_Prediction,LSTM_Prediction,Ensemble_Prediction,Lower_CI,Upper_CI
2021-05-30,0.0024920411521147,0.10232558101415634,0.042425457096931365,-0.3804132438763329,0.3852599674507475
2021-05-31,-0.049909399330634,0.084792360663414,0.003971304666985205,-0.4397208629484076,0.3216031787761345
2021-06-01,-0.0126771633790773,0.05896531976759434,0.015979829879591356,-0.3800061287183978,0.370666374810798
2021-06-02,0.0685411266970508,0.03993036411702633,0.057096821665041014,-0.2887737031119378,0.4280746375804729
2021-06-03,0.0002968056802466,-0.003583750454708934,-0.0012554167737356136,-0.3775726722825695,0.3949316113284813
2021-06-04,0.0311887340033868,-0.04213681071996689,0.0018585161140453228,-0.3333951774014938,0.3898373385417235
2021-06-05,0.0615721252507392,-0.08116650022566319,0.004476675060178244,-0.2888019082072356,0.4464185457737691
2021-06-06,0.0471955466422434,-0.10098230838775635,-0.012075595369756501,-0.3092109192027347,0.418352691853999
2021-06-07,-0.0101644216043164,-0.09702252969145775,-0.04490766483917294,-0.377078711701473,0.3796161719279594
2021-06-08,0.0270047468826174,-0.08906376734375954,-0.01942265880793338,-0.3466746333333715,0.4179598048103346
2021-06-09,0.1097356214793779,-0.08680537529289722,0.03111922277046785,-0.2761906976877953,0.5051650692703723
2021-06-10,0.0313194867958279,-0.09066701866686344,-0.01747511538924864,-0.3272612661453142,0.424416139924013
2021-06-11,0.0576227704661122,-0.085052490234375,0.0005526661859173235,-0.337877751024155,0.4467866332837584
2021-06-12,0.0822738537398534,-0.0825488269329071,0.016344781470749192,-0.2940317585895123,0.501506027600891
2021-06-13,0.058280544659722,-0.08153975196182728,0.0023524260111022835,-0.3123188352405318,0.438133127110892
2021-06-14,-0.0121424592987508,-0.07804019004106522,-0.038501551595676566,-0.3721118879673688,0.3906589158319947
2021-06-15,0.0178362881885805,-0.07134411111474037,-0.01783587153274785,-0.3234078455255739,0.3892429417803683
2021-06-16,0.0961996172845015,-0.07214297913014889,0.028862578718641348,-0.2823577667079679,0.4579531703456406
2021-06-17,0.0032205436087907,-0.08068935759365559,-0.030343416872187817,-0.3902459758465423,0.4024974961048644
2021-06-18,0.0222378729452371,-0.08052311092615128,-0.018866520603318254,-0.3513566820020193,0.4190860887789453
2021-06-19,0.0403131253229786,-0.0850130170583725,-0.009817331629561842,-0.3315503105791311,0.4337849023231319
2021-06-20,0.0078216895203673,-0.09215157106518745,-0.0321676147138546,-0.3797997401662238,0.3935256922217049
2021-06-21,-0.0725323833817983,-0.09703516960144043,-0.08233349786965515,-0.439062264601174,0.2956169266111487
2021-06-22,-0.0446085395511867,-0.09824414178729057,-0.06606278044562824,-0.4240195573407098,0.3212016617466878
2021-06-23,0.0364532010039134,-0.10688476637005806,-0.020881985945675186,-0.3588091011289966,0.4009591377276168
2021-06-24,-0.0622292562157753,-0.12295308709144592,-0.08651878856604356,-0.4585984244972929,0.3004727817111386
2021-06-25,-0.0400438403013739,-0.12868855521082878,-0.07550172626515586,-0.3953075272402673,0.3512840730451908
2021-06-26,-0.0167539113890443,-0.13801977038383484,-0.06526025498696052,-0.3981989476345464,0.3341208831257444
2021-06-27,-0.0449281893946352,-0.14860742166638374,-0.08639988230333462,-0.4114151557926094,0.3382732252567881
2021-06-28,-0.1217316191807624,-0.15508920326828957,-0.13507465281577327,-0.4794053852212322,0.2539939735505767
2021-06-29,-0.0821109131825138,-0.15582672134041786,-0.11159723644567543,-0.4407590111010309,0.2989575995470259
2021-06-30,0.0152467205933069,-0.1624755822122097,-0.055842200528899745,-0.3610256093797138,0.4073934158625317
2021-07-01,-0.0761369883148012,-0.1750585399568081,-0.11570560897160395,-0.4317780025015945,0.3084219985494056
2021-07-02,-0.0388223752701193,-0.17491142079234123,-0.09325799347900808,-0.3984260752689123,0.348532598958189
2021-07-03,0.0001647283792476,-0.176813006401062,-0.07062636553287624,-0.3787016633958662,0.3952789714606474
2021-07-04,-0.0151051151937431,-0.17848346382379532,-0.08045645464576398,-0.3703576507208738,0.3546706686362599
2021-07-05,-0.0820487203545573,-0.17449840530753136,-0.11902859433574693,-0.4406853760721627,0.307054615073236
2021-07-06,-0.0270369659021423,-0.16339407116174698,-0.08157980800598418,-0.4005915922311449,0.3806186308245803
2021-07-07,0.0874161843229567,-0.15779264643788338,-0.01066734798137934,-0.2766833753087946,0.4628666716355882
2021-07-08,0.0010241811465785,-0.15811309218406677,-0.06263072818567961,-0.3855691914022973,0.356576466469263
2021-07-09,0.0479182314976169,-0.14502164348959923,-0.029257718497269554,-0.3624678651886285,0.4119359729726229
2021-07-10,0.0937567878612967,-0.13456818088889122,0.0024268003612215247,-0.2921862372107772,0.4618073512775474
2021-07-11,0.0792839407263555,-0.12478687986731529,-0.002344387511112822,-0.2939239101536248,0.453797356338006
2021-07-12,0.0069551713285279,-0.11036866530776024,-0.03997436332598736,-0.3703844400078069,0.3966109688469197
2021-07-13,0.0591895619089096,-0.09020612016320229,-0.0005687109199351559,-0.2962672942301914,0.4706826762592154
2021-07-14,0.1699480784704582,-0.07816554419696331,0.07070262940348959,-0.1963931203972808,0.5680134400527943
2021-07-15,0.0655202895762431,-0.07510461285710335,0.00927032860290452,-0.3165960454726811,0.4519328424262359
2021-07-16,0.0971888329878244,-0.0607918594032526,0.03399655603139359,-0.277834381935328,0.503109873130438
2021-07-17,0.1238223756984742,-0.05264058709144592,0.053237190582506144,-0.235441939173141,0.4769466510001494
2021-07-18,0.0834190328319374,-0.04879984259605408,0.030531482660740804,-0.2950535383806774,0.4541775711791427
