Date,Prophet_Prediction,LSTM_Prediction,Ensemble_Prediction,Lower_CI,Upper_CI
2021-05-30,5.817970610823808,10.838119804859161,7.826030288437949,-5.344818252217111,17.0951222966648
2021-05-31,5.953668143342226,23.47861647605896,12.96364747642892,-5.699346427976752,18.16831814251505
2021-06-01,11.853732131274922,38.89893937110901,22.67181502720856,-0.013490509832193073,23.071680397912182
2021-06-02,18.718669772056955,55.95450496673584,33.61300384992851,6.024021857206915,30.27161965974953
2021-06-03,8.352675009879132,66.98067355155945,31.80387442655126,-2.730060169214497,20.9137946098404
2021-06-04,8.38258203026433,79.13014054298401,36.6816054353522,-3.576219061734126,20.265415103901617
2021-06-05,9.470184560548898,87.98260116577148,40.87515120263794,-2.731070275526196,21.308552726987394
2021-06-06,5.089724554479074,95.45917081832886,41.23750306001899,-7.522409313670775,16.486946882686873
2021-06-07,5.118911679753222,99.05455684661865,42.6931697464994,-6.422281935378948,17.056790940891876
2021-06-08,10.977108879469883,101.87447118759155,47.33605380271855,-1.4469696359536661,22.793551545859494
2021-06-09,17.806326664239013,101.49392509460449,51.28136603638521,6.436977372999616,29.719805568892102
2021-06-10,7.1860596169355295,98.0033311843872,43.512968243916205,-4.261326725071963,18.601537252808157
2021-06-11,7.091198717258419,99.07608604431152,43.885153648079665,-4.230753035209251,19.378230350705742
2021-06-12,8.069918557593802,98.97977542877197,44.433861306065076,-4.555610677279729,19.234487120141097
2021-06-13,3.5188095575473057,98.27814388275146,41.42254328762897,-7.877444493097849,14.846862466371133
2021-06-14,3.4418321835264973,100.97155666351318,42.45372197552118,-8.178916044593056,14.70703345176557
2021-06-15,9.279116483166252,102.43183708190918,46.54020472266343,-1.3592606027534127,21.095204175017614
2021-06-16,16.115676366671956,101.54615592956543,50.28786819182935,4.60564571183377,28.046681734835616
2021-06-17,5.307020377752484,97.30735731124878,42.107155151151005,-6.791237813254311,17.385904130668692
2021-06-18,5.175967098393845,97.9934778213501,42.30297138757635,-6.549673534589959,16.058305640080505
2021-06-19,6.156073286546528,97.31217384338379,42.618513509281435,-5.805008162714846,17.299884797282804
2021-06-20,1.5644128856064348,96.05289602279663,39.35980614048251,-9.37240454262871,13.92978369776807
2021-06-21,1.5285000329978216,97.76862287521362,40.024549169884146,-9.683021094356514,13.945510054304464
2021-06-22,7.505766952161595,96.9085464477539,43.266878750398526,-4.639427852105634,19.339990731878682
2021-06-23,14.520091471804093,94.52827835083008,46.523366223414484,2.0748806879498365,26.003253826180494
2021-06-24,3.6983017474606155,89.04668426513672,37.83765475453106,-9.206711596588612,15.449177383311127
2021-06-25,3.7060375337117253,89.59230422973633,38.06054421212156,-8.175820568574018,16.01742305357812
2021-06-26,4.856880987833471,88.72950410842896,38.40593023607166,-6.636503352445751,16.59994753285257
2021-06-27,0.3829583347761516,87.21025371551514,35.11387648707175,-11.382675281826627,11.99519321916655
2021-06-28,0.5300162458606068,89.23824405670166,36.013307370197026,-11.623887180423917,12.444698067620532
2021-06-29,6.767765600007178,87.27276849746704,38.96976675899113,-5.774514913957254,19.304858393557236
2021-06-30,14.054406671363763,83.5362811088562,41.84715644636074,1.2968918569727341,26.203866379814276
2021-07-01,3.2842031011336283,77.09476518630981,32.80842793520411,-8.587416888805105,14.46902862068224
2021-07-02,3.4625493068608058,79.59681344032288,33.91625496024564,-8.36018972809816,15.436148613011033
2021-07-03,4.780943625148777,80.740469455719,35.16475395737686,-7.419719182375606,15.573915111519742
2021-07-04,0.38552665598258556,80.84368944168091,32.56879177026192,-11.706536639190062,12.411411979852206
2021-07-05,0.6403950089409808,85.45441246032715,34.56600198949545,-10.896307864918882,12.268944859551475
2021-07-06,7.028861352154698,85.40925121307373,38.38101729652231,-4.947263860737126,18.670608570651357
2021-07-07,14.445991502084755,82.28946018218994,41.58337897412683,2.0977327226142757,26.290032275433354
2021-07-08,3.557224134933647,75.75730633735657,32.437257015902816,-7.199710207610509,15.442042303581479
2021-07-09,3.7125826291149386,79.427659034729,33.99861319136056,-7.287168676663066,14.732044717273205
2021-07-10,4.987391350346393,81.4550085067749,35.5744382129178,-6.344789576515812,17.028725200000032
2021-07-11,0.448615833540846,82.03258180618286,33.08220222259765,-11.5855279799998,11.42502778356757
2021-07-12,0.5862463741225088,86.98665046691895,35.146408011241085,-11.923077128201024,12.702125808202712
2021-07-13,6.905278175102484,86.86977195739746,38.89107568802048,-4.742740038605425,18.156428883907058
2021-07-14,14.246040446167264,83.62743473052979,41.99859815991227,2.6917334161998765,25.726204632023652
2021-07-15,3.0536240451355128,77.19208216667175,32.70900729375001,-8.552822029948892,15.125851831494645
2021-07-16,3.030988480281498,79.85190439224243,33.75935484506587,-8.210419977186127,14.675287480330255
2021-07-17,4.14516754721704,80.50290727615356,34.68826343879165,-7.277757088403481,15.846353221425733
2021-07-18,-0.6088397197201967,79.72802639007568,31.525906724198155,-12.406007192416446,10.478719858415054
2021-07-19,-0.6088566188242018,81.90475344657898,32.39658740733707,-12.462794508525615,12.57336021166257
2021-07-20,5.676947729503321,77.71779012680054,34.49328468842221,-6.786110869954995,16.860891949300694
2021-07-21,13.037979918083945,71.8046658039093,36.54465427241409,1.6528860531965113,25.33715331153325
2021-07-22,1.7012887638243015,64.90239000320435,26.981729259576323,-9.564069715879281,12.946461462482173
2021-07-23,1.7234345511013944,67.0501127243042,27.854105820382518,-9.639320242159716,13.377025634892751
2021-07-24,2.962091968821311,66.69472575187683,28.45514548204352,-9.212937969204937,14.291336958966909
