ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-01-22,-0.023449949999999997,-0.42162766656160544,0.3466081868580384,-0.023449949999999997,-0.023449949999999997,0.045410111446288426,0.045410111446288426,0.045410111446288426,0.25215195842721844,0.25215195842721844,0.25215195842721844,-0.20674184698092996,-0.20674184698092996,-0.20674184698092996,0.0,0.0,0.0,-0.024514814842909887
2020-01-23,-0.022490105844155842,-0.4101254665973491,0.32844379216357567,-0.022490105844155842,-0.022490105844155842,-0.2266548913892955,-0.2266548913892955,-0.2266548913892955,-0.04599000000015144,-0.04599000000015144,-0.04599000000015144,-0.1806648913891441,-0.1806648913891441,-0.1806648913891441,0.0,0.0,0.0,-0.01739261334671494
2020-01-24,-0.021530261688311687,-0.37619768200423676,0.3570501915288712,-0.021530261688311687,-0.021530261688311687,-0.4820412730577467,-0.4820412730577467,-0.4820412730577467,-0.33619361692441413,-0.33619361692441413,-0.33619361692441413,-0.14584765613333248,-0.14584765613333248,-0.14584765613333248,0.0,0.0,0.0,-0.01115178693481149
2020-01-25,-0.020570417532467532,-0.3640695416827656,0.37266729804084225,-0.020570417532467532,-0.020570417532467532,-0.19589756056135987,-0.19589756056135987,-0.19589756056135987,-0.09248954144672672,-0.09248954144672672,-0.09248954144672672,-0.10340801911463315,-0.10340801911463315,-0.10340801911463315,0.0,0.0,0.0,-0.016540722918128515
2020-01-26,-0.019610573376623374,-0.37690605774697833,0.34686401546680073,-0.019610573376623374,-0.019610573376623374,0.5919031403143137,0.5919031403143137,0.5919031403143137,0.6465841429938711,0.6465841429938711,0.6465841429938711,-0.05468100267955722,-0.05468100267955722,-0.05468100267955722,0.0,0.0,0.0,-0.031218133341611026
2020-01-27,-0.01865072922077922,-0.42910349909918516,0.37193845100920025,-0.01865072922077922,-0.01865072922077922,0.2512896184701394,0.2512896184701394,0.2512896184701394,0.25246512281467015,0.25246512281467015,0.25246512281467015,-0.0011755043445306756,-0.0011755043445306756,-0.0011755043445306756,0.0,0.0,0.0,-0.02333746385085871
2020-01-28,-0.017690885064935064,-0.4111346950958632,0.39672273372442335,-0.017690885064935064,-0.017690885064935064,-0.6210541095273444,-0.6210541095273444,-0.6210541095273444,-0.6765280658689594,-0.6765280658689594,-0.6765280658689594,0.05547395634161509,0.05547395634161509,0.05547395634161509,0.0,0.0,0.0,-0.006703888194181221
2020-01-29,-0.01673104090909091,-0.4112100279819128,0.33087350666551113,-0.01673104090909091,-0.01673104090909091,0.3657109525065836,0.3657109525065836,0.3657109525065836,0.2521519584276553,0.2521519584276553,0.2521519584276553,0.11355899407892818,0.11355899407892818,0.11355899407892818,0.0,0.0,0.0,-0.02284976581638116
2020-01-30,-0.01577119675324675,-0.3843950386935375,0.33709756521108825,-0.01577119675324675,-0.01577119675324675,0.12536103333117624,0.12536103333117624,0.12536103333117624,-0.045990000001053105,-0.045990000001053105,-0.045990000001053105,0.17135103333222934,0.17135103333222934,0.17135103333222934,0.0,0.0,0.0,-0.01774829027510306
2020-01-31,-0.014811352597402596,-0.39798237677152776,0.3496803503391456,-0.014811352597402596,-0.014811352597402596,-0.10903835311944698,-0.10903835311944698,-0.10903835311944698,-0.3361936169237223,-0.3361936169237223,-0.3361936169237223,0.22715526380427514,0.22715526380427514,0.22715526380427514,0.0,0.0,0.0,-0.013196347102710374
2020-02-01,-0.013851508441558441,-0.4049475648799309,0.33405501142644645,-0.013851508441558441,-0.013851508441558441,0.18687368939244572,0.18687368939244572,0.18687368939244572,-0.09248954144715979,-0.09248954144715979,-0.09248954144715979,0.27936323083960557,0.27936323083960557,0.27936323083960557,0.0,0.0,0.0,-0.01643999092768307
2020-02-02,-0.012891664285714286,-0.38521029961846315,0.32866473609152785,-0.012891664285714286,-0.012891664285714286,0.9730866026429854,0.9730866026429854,0.9730866026429854,0.6465841429951127,0.6465841429951127,0.6465841429951127,0.3265024596478725,0.3265024596478725,0.3265024596478725,0.0,0.0,0.0,-0.02543637008791391
2020-02-03,-0.01193182012987013,-0.3754065850794093,0.3458411780265945,-0.01193182012987013,-0.01193182012987013,0.6197467274314717,0.6197467274314717,0.6197467274314717,0.25246512281825767,0.25246512281825767,0.25246512281825767,0.36728160461321396,0.36728160461321396,0.36728160461321396,0.0,0.0,0.0,-0.019326526607658098
2020-02-04,-0.010971975974025973,-0.3818654544620104,0.37088130659693563,-0.010971975974025973,-0.010971975974025973,-0.27589831296940687,-0.27589831296940687,-0.27589831296940687,-0.6765280658684338,-0.6765280658684338,-0.6765280658684338,0.4006297528990269,0.4006297528990269,0.4006297528990269,0.0,0.0,0.0,-0.007944826312851342
2020-02-05,-0.010012131818181816,-0.37193483445330217,0.38489391354762503,-0.010012131818181816,-0.010012131818181816,0.6778806494469533,0.6778806494469533,0.6778806494469533,0.2521519584281473,0.2521519584281473,0.2521519584281473,0.4257286910188059,0.4257286910188059,0.4257286910188059,0.0,0.0,0.0,-0.016799162237439408
2020-02-06,-0.009052287662337663,-0.36955443951300315,0.3755444618328868,-0.009052287662337663,-0.009052287662337663,0.39604715849784394,0.39604715849784394,0.39604715849784394,-0.04598999999920528,-0.04598999999920528,-0.04598999999920528,0.4420371584970492,0.4420371584970492,0.4420371584970492,0.0,0.0,0.0,-0.012637420468911585
