ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-01-22,-0.1375979,-11.274822310337669,10.12990036286939,-0.1375979,-0.1375979,0.5290501095778726,0.5290501095778726,0.5290501095778726,0.0551758444705652,0.0551758444705652,0.0551758444705652,0.4738742651073074,0.4738742651073074,0.4738742651073074,0.0,0.0,0.0,-0.21039408407268514
2020-01-23,-0.10456456666666666,-11.164375486562793,9.413771300473721,-0.10456456666666666,-0.10456456666666666,1.1229328082242813,1.1229328082242813,1.1229328082242813,0.39127920000010386,0.39127920000010386,0.39127920000010386,0.7316536082241774,0.7316536082241774,0.7316536082241774,0.0,0.0,0.0,-0.22198354915442173
2020-01-24,-0.07153123333333333,-10.299822582676944,10.130058831776783,-0.07153123333333333,-0.07153123333333333,0.8013047613492668,0.8013047613492668,0.8013047613492668,-0.19621880671502517,-0.19621880671502517,-0.19621880671502517,0.9975235680642918,0.9975235680642918,0.9975235680642918,0.0,0.0,0.0,-0.1288495511885187
2020-01-25,-0.03849789999999999,-9.770230064546185,10.756861540490839,-0.03849789999999999,-0.03849789999999999,1.2681990110053385,1.2681990110053385,1.2681990110053385,0.0009330781467597055,0.0009330781467597055,0.0009330781467597055,1.267265932858579,1.267265932858579,1.267265932858579,0.0,0.0,0.0,-0.0873208987057824
2020-01-26,-0.005464566666666663,-9.64473614485348,10.521073127582616,-0.005464566666666663,-0.005464566666666663,1.400611562810939,1.400611562810939,1.400611562810939,-0.13590065966269624,-0.13590065966269624,-0.13590065966269624,1.5365122224736354,1.5365122224736354,1.5365122224736354,0.0,0.0,0.0,-0.013118301925751221
2020-01-27,0.027568766666666668,-11.230079489202014,11.088692428761336,0.027568766666666668,0.027568766666666668,1.7366208195482737,1.7366208195482737,1.7366208195482737,-0.0642205883430221,-0.0642205883430221,-0.0642205883430221,1.8008414078912958,1.8008414078912958,1.8008414078912958,0.0,0.0,0.0,0.07544526082926847
2020-01-28,0.06060210000000003,-11.0862233152048,11.422442671180402,0.06060210000000003,0.06060210000000003,2.004830978315301,2.004830978315301,2.004830978315301,-0.05104806789604473,-0.05104806789604473,-0.05104806789604473,2.055879046211346,2.055879046211346,2.055879046211346,0.0,0.0,0.0,0.18209906743096177
2020-01-29,0.09363543333333335,-10.506642583079925,10.169419577748139,0.09363543333333335,0.09363543333333335,2.352571137927314,2.352571137927314,2.352571137927314,0.05517584446966786,0.05517584446966786,0.05517584446966786,2.297395293457646,2.297395293457646,2.297395293457646,0.0,0.0,0.0,0.3139194512806506
2020-01-30,0.12666876666666665,-9.71996213038499,10.382391890981822,0.12666876666666665,0.12666876666666665,2.912678493263302,2.912678493263302,2.912678493263302,0.391279199999638,0.391279199999638,0.391279199999638,2.5213992932636646,2.5213992932636646,2.5213992932636646,0.0,0.0,0.0,0.49561415910485407
2020-01-31,0.1597021,-10.157545734858768,10.673964869158612,0.1597021,0.1597021,2.5280087367357646,2.5280087367357646,2.5280087367357646,-0.19621880671409778,-0.19621880671409778,-0.19621880671409778,2.724227543449862,2.724227543449862,2.724227543449862,0.0,0.0,0.0,0.5634304040750489
2020-02-01,0.19273543333333334,-10.072312694087977,10.517907262729093,0.19273543333333334,0.19273543333333334,2.903557089691756,2.903557089691756,2.903557089691756,0.0009330781472517979,0.0009330781472517979,0.0009330781472517979,2.9026240115445043,2.9026240115445043,2.9026240115445043,0.0,0.0,0.0,0.7523537672231462
2020-02-02,0.22576876666666668,-9.139543039422527,10.750568955065942,0.22576876666666668,0.22576876666666668,2.9179093398143,2.9179093398143,2.9179093398143,-0.135900659663409,-0.135900659663409,-0.135900659663409,3.0538099994777097,3.0538099994777097,3.0538099994777097,0.0,0.0,0.0,0.8845415595616888
2020-02-03,0.2588021000000001,-8.857146687274527,11.23838553663222,0.2588021000000001,0.2588021000000001,3.111321452151066,3.111321452151066,3.111321452151066,-0.064220588342928,-0.064220588342928,-0.064220588342928,3.175542040493994,3.175542040493994,3.175542040493994,0.0,0.0,0.0,1.0640186255917459
2020-02-04,0.2918354333333334,-9.18812442964675,11.785038423793182,0.2918354333333334,0.2918354333333334,3.2151083716897326,3.2151083716897326,3.2151083716897326,-0.05104806789681769,-0.05104806789681769,-0.05104806789681769,3.2661564395865503,3.2661564395865503,3.2661564395865503,0.0,0.0,0.0,1.2301179781990343
2020-02-05,0.3248687666666667,-8.472000463917997,12.614895428743981,0.3248687666666667,0.3248687666666667,3.379775277665896,3.379775277665896,3.379775277665896,0.055175844470552016,0.055175844470552016,0.055175844470552016,3.3245994331953437,3.3245994331953437,3.3245994331953437,0.0,0.0,0.0,1.4228521927324773
2020-02-06,0.3579020999999999,-8.247412761074207,12.512664077865256,0.3579020999999999,0.3579020999999999,3.7417215341562535,3.7417215341562535,3.7417215341562535,0.3912792000002525,0.3912792000002525,0.3912792000002525,3.3504423341560012,3.3504423341560012,3.3504423341560012,0.0,0.0,0.0,1.6970720946897444
2020-02-07,0.3909354336960238,-8.965824260958318,12.523585538187369,0.3909354336960238,0.3909354336960238,3.1476626261905976,3.1476626261905976,3.1476626261905976,-0.19621880671435277,-0.19621880671435277,-0.19621880671435277,3.3438814329049507,3.3438814329049507,3.3438814329049507,0.0,0.0,0.0,1.6214682875946103
